mode,n_slots,nt,nd,J,h_mean,h_se,n_seeds
dense_jepa_flatten,,8,50,160,148.56831,1.3513757668514408,3
dense_jepa_flatten,,16,10,40,150.0536033333333,1.5310526500889647,3
dense_jepa_flatten,,16,10,80,157.93771333333333,1.9769776692494823,3
dense_jepa_flatten,,16,10,160,149.56389666666666,3.800298644941529,3
dense_jepa_flatten,,16,20,40,150.19905666666668,1.3697434112798075,3
dense_jepa_flatten,,16,20,80,156.63027666666667,1.807956914543165,3
dense_jepa_flatten,,16,20,160,148.39209333333335,3.8495546911572958,3
dense_jepa_flatten,,16,50,40,149.20405666666667,1.7195251348587877,3
dense_jepa_flatten,,16,50,80,157.28852333333333,1.9975499574423123,3
dense_jepa_flatten,,16,50,160,148.04605,3.708263920745128,3
dense_jepa_flatten,,32,10,40,154.12926666666667,3.9182000850787446,3
dense_jepa_flatten,,32,10,80,155.9114,0.9327913541623387,3
dense_jepa_flatten,,32,10,160,148.90884666666668,1.9207868408574402,3
dense_jepa_flatten,,32,20,40,153.74192666666667,3.486608763083567,3
dense_jepa_flatten,,32,20,80,155.10938,0.5340247908415277,3
dense_jepa_flatten,,32,20,160,148.37305999999998,2.3008572771324456,3
dense_jepa_flatten,,32,50,40,152.40627666666668,4.069564188805865,3
dense_jepa_flatten,,32,50,80,153.80613666666667,0.7905688266544357,3
dense_jepa_flatten,,32,50,160,147.24539000000001,2.054266227983438,3
copy,,8,10,40,148.31569666666667,0.07134424184504626,3
copy,,8,10,80,152.53592,6.868849882348085,3
copy,,8,10,160,149.42421333333334,1.8401747133567945,3
copy,,8,20,40,148.31620999999998,0.07070811905290798,3
copy,,8,20,80,152.53054,6.871790819306126,3
copy,,8,20,160,149.42515666666665,1.8427293649125789,3
copy,,8,50,40,148.32083,0.06857659732007933,3
copy,,8,50,80,152.53500666666665,6.871123976396522,3
copy,,8,50,160,149.4250966666667,1.841186198933841,3
copy,,16,10,40,153.10868333333335,2.157367181484049,3
copy,,16,10,80,160.55996000000002,2.322986222752946,3
copy,,16,10,160,153.19874000000002,4.167700389987268,3
copy,,16,20,40,153.10869333333332,2.1585145016448486,3
copy,,16,20,80,160.5586033333333,2.323050570782112,3
copy,,16,20,160,153.20027666666667,4.167330654657059,3
copy,,16,50,40,153.11039666666667,2.160972713805316,3
copy,,16,50,80,160.55731666666668,2.3246762006017994,3
copy,,16,50,160,153.19889,4.166884468196831,3
copy,,32,10,40,157.60371999999998,3.4062735739563457,3
copy,,32,10,80,159.99455,1.400278137454604,3
copy,,32,10,160,153.27095,2.3339390933141364,3
copy,,32,20,40,157.60295666666667,3.4059231565334964,3
copy,,32,20,80,159.9946633333333,1.3996949921361779,3
copy,,32,20,160,153.26996,2.3337188654163104,3
copy,,32,50,40,157.59947666666667,3.407359109253251,3
copy,,32,50,80,159.99222333333333,1.3997266819434606,3
copy,,32,50,160,153.27038333333334,2.3332953035734194,3
